prompt	completion
:2over	(Stack Manipulation) Shorthand equivalent to writing: :over,:over
:abs	(Math) Compute a new time series where each interval has the absolute value of the input time series.
:add	Compute a new time series where each interval has the value (a addNaN b) where a and b are the corresponding intervals in the input time series. Use the fadd operator to get strict floating point behavior.
:alpha	(Presentation) Set the alpha value for the colors on the line. The value should be a two digit hex number where 00 is transparent and ff is opague. This setting will be ignored if the color setting is used for the same line.
:and	There are two variants of the :and operator. (Choosing) The first variant is used for choosing the set of time series to operate on. It is a binary operator that matches if both of the sub-queries match. (Math) The second variant computes a new time series where each interval has the value (a AND b) where a and b are the corresponding intervals in the input time series.
:area	(Presentation) Change the line style to be area. In this mode the line will be filled to 0 on the Y-axis.
:as	(Math) Map a tag key name to an alternate name. This can be useful for cases where it is desirable to perform a binary math operation, but the two sides use different tag keys for the same concept. The common IPC metrics are an example where it might be desirable to compare RPS for servers and their clients. The server side RPS would group by nf.app while the client side view would group by ipc.server.app.
:avg	Average or mean aggregation operator. There are two variants of the :avg operator. (Aggregation) The first variant is a helper method that computes the average or mean from one or more time series using the count aggregate to determine how many time series have data at an interval and dividing the sum of the values by the count. This avoids issues where one or time series are missing data at a specific time resulting in an artificially low average. (Math) The second variant computes the average of all the time series from the input expression. This is typically used when there is a need to use some other aggregation for the grouping.
:axis	(Presentation) Specify which Y-axis to use for the line. The value specified is the axis number and should be an integer in the range 0 to 4 inclusive.
:bottomk	(Math) Restrict the output for a grouped expression to the k time series with the smallest value for the specified summary statistic.
:bottomk-others-avg	(Math) Restrict the output for a grouped expression to the k time series with the smallest value for the specified summary statistic and computes an average aggregate for the other time series.
:bottomk-others-max	(Math) Restrict the output for a grouped expression to the k time series with the smallest value for the specified summary statistic and computes a max aggregate for the other time series.
:bottomk-others-min	(Math) Restrict the output for a grouped expression to the k time series with the smallest value for the specified summary statistic and computes a min aggregate for the other time series.
:bottomk-others-sum	(Math) Restrict the output for a grouped expression to the k time series with the smallest value for the specified summary statistic and computes a sum aggregate for the other time series.
:by	Group by operator. There are two variants of the :by operator. (Aggregation) The first variant groups the matching time series by a set of keys and applies an aggregation to matches of the group. (Math) The second variant groups the time series from the input expression by a set of keys and applies an aggregation to matches of the group. The keys used for this grouping must be a subset of keys from the initial group by clause.
:call	(Stack Manipulation) Pops a list off the stack and executes it as a program.
:cf-avg	(Aggregation) Force the consolidation function to be average.
:cf-max	(Aggregation) Force the consolidation function to be max.
:cf-min	(Aggregation) Force the consolidation function to be min.
:cf-sum	(Aggregation) Force the consolidation function to be sum.
:cg	(Math) Recursively add a list of keys to group by expressions. This can be useful for tooling that needs to adjust existing expressions to include keys in the grouping.
:clamp-max	(Math) Restricts the maximum value of the output time series to the specified value. Values from the input time series that are less than or equal to the maximum will not be changed. A common use-case is to allow for auto-scaled axis up to a specified bound.
:clamp-min	(Math) Restricts the minimum value of the output time series to the specified value. Values from the input time series that are greater than or equal to the minimum will not be changed. A common use-case is to allow for auto-scaled axis up to a specified bound.
:clear	(Stack Manipulation) Remove all items from the stack.
:color	(Presentation) Set the color for the line. The value should be one of: hex triplet, 6-digit hex RBG, 8-digit hex ARGB. The first byte is the alpha setting to use with the color. For queries with multiple time series, color palettes are available to automatically assign different colors to the various series. See Color Palettes.
:const	Generates a line where each datapoint is a constant value. Any double value that is left on the stack will get implicitly converted to a constant line, so this operator is typically not used explicitly.
:contains	(Choosing) Select time series where the value for a key includes the specified substring.
:count	Count aggregation operator. There are two variants of the :count operator. (Aggregation) Compute the number of time series that match the query and have a value for a given interval. (Math) Compute the number of time series from the input expression and have a value for a given interval.
:cq	(Math) Recursively AND a common query to all queries in an expression. If the first parameter is not an expression, then it will be not be modified.
:decode	(Presentation) Perform decoding of the legend strings. Generally data going into Atlas is restricted to simple ascii characters that are easy to use as part of a URI. Most commonly the clients will convert unsupported characters to an _. In some cases, it is desirable to be able to reverse that for the purposes of presentation.
:delay	(Math) Delays the values by the window size. This is similar to the :offset operator except that it can be applied to any input line instead of just changing the time window fetched with a DataExpr. Short delays can be useful for alerting to detect changes in slightly shifted trend lines.
:depth	(Stack Manipulation) Push the depth of the stack.
